"Vremenska oznaka","Spol","Dob","Stupanj obrazovanja","Radni status","Područje struke","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragraf 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragraf 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 6 i 7]","Što misliš, koliko je autora napisalo ovaj tekst?"
"2024/05/15 10:14:59 PM EEST","Muški","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","3","Različiti autori","Isti autori","Različiti autori","2","Isti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","3","Isti autori","Isti autori","Različiti autori","2","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1"
"2024/05/15 11:11:59 PM EEST","Muški","55-64","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Različiti autori","Isti autori","3","Različiti autori","Različiti autori","Različiti autori","4","Različiti autori","Različiti autori","Različiti autori","Isti autori","Isti autori","3","Isti autori","Različiti autori","Različiti autori","3","Različiti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","4"
"2024/05/15 11:51:38 PM EEST","Ženski","45-54","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Društvene znanosti","Isti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","2","Različiti autori","Različiti autori","Različiti autori","3","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","3","Različiti autori","Isti autori","Različiti autori","2","Različiti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","4"
"2024/05/16 7:49:13 AM EEST","Muški","55-64","Viša stručna sprema (preddiplomski studij)","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Različiti autori","Isti autori","2","Različiti autori","Isti autori","Različiti autori","2","Isti autori","Različiti autori","Isti autori","Isti autori","Isti autori","2","Isti autori","Isti autori","Isti autori","1","Isti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","Isti autori","3"
"2024/05/16 11:24:42 AM EEST","Muški","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Društvene znanosti","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","3","Različiti autori","Različiti autori","Različiti autori","4","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","3","Isti autori","Različiti autori","Različiti autori","2","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","4"
"2024/05/16 11:25:10 AM EEST","Muški","55-64","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Različiti autori","Isti autori","2","Isti autori","Različiti autori","Isti autori","2","Isti autori","Isti autori","Različiti autori","Različiti autori","Različiti autori","3","Isti autori","Isti autori","Isti autori","1","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","3"
"2024/05/16 4:02:36 PM EEST","Muški","45-54","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Različiti autori","Isti autori","Isti autori","3","Različiti autori","Različiti autori","Različiti autori","4","Različiti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","4","Različiti autori","Različiti autori","Isti autori","3","Različiti autori","Isti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","4"
"2024/05/16 4:52:24 PM EEST","Muški","25-35","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","3","Različiti autori","Različiti autori","Isti autori","4","Isti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","4","Različiti autori","Isti autori","Različiti autori","3","Isti autori","Isti autori","Isti autori","Isti autori","Različiti autori","Isti autori","2"
"2024/05/17 2:07:13 PM EEST","Ženski","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Društvene znanosti","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","2","Isti autori","Različiti autori","Isti autori","2","Različiti autori","Isti autori","Različiti autori","Isti autori","Isti autori","2","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1"
"2024/05/17 8:50:43 PM EEST","Ženski","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Različiti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","3","Različiti autori","Različiti autori","Isti autori","3","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","3","Različiti autori","Različiti autori","Isti autori","2","Isti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","2"
