"Vremenska oznaka","Spol","Dob","Stupanj obrazovanja","Radni status","Područje struke","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragraf 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragraf 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 5 i 6]","Što misliš, koliko je autora napisalo ovaj tekst?","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 1 i 2]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 2 i 3]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 3 i 4]","Usporedi paragrafe. Je li ih napisala ista osoba ili se radi o različitim autorima? [Paragrafi 4 i 5]","Što misliš, koliko je autora napisalo ovaj tekst?"
"2024/05/15 4:38:57 PM EEST","Ženski","45-54","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","4","Isti autori","Isti autori","Različiti autori","2","Isti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","3","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","3","Različiti autori","Različiti autori","Isti autori","Različiti autori","3"
"2024/05/15 5:45:08 PM EEST","Muški","18-24","Viša stručna sprema (preddiplomski studij)","Student","Tehničke znanosti","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","2","Različiti autori","Različiti autori","Različiti autori","3","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","4","Različiti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","3","Različiti autori","Različiti autori","Isti autori","Različiti autori","4"
"2024/05/15 11:49:01 PM EEST","Ženski","25-35","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","3","Isti autori","Različiti autori","Različiti autori","2","Isti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","4","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","3","Isti autori","Različiti autori","Isti autori","Različiti autori","3"
"2024/05/17 4:28:29 PM EEST","Muški","45-54","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Društvene znanosti","Različiti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","2","Različiti autori","Različiti autori","Isti autori","2","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Različiti autori","Različiti autori","Različiti autori","Isti autori","Isti autori","3","Isti autori","Isti autori","Isti autori","Isti autori","1"
"2024/05/17 4:34:50 PM EEST","Muški","35-44","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Tehničke znanosti","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Različiti autori","Različiti autori","Različiti autori","4","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","4","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","1"
"2024/05/17 4:50:31 PM EEST","Ženski","18-24","Viša stručna sprema (preddiplomski studij)","Student","Biomedicina i zdravstvo","Isti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","3","Isti autori","Isti autori","Različiti autori","2","Različiti autori","Isti autori","Isti autori","Isti autori","Različiti autori","2","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Različiti autori","Isti autori","Različiti autori","Isti autori","3"
"2024/05/17 5:33:20 PM EEST","Muški","25-35","Viša stručna sprema (preddiplomski studij)","Zaposlen","Tehničke znanosti","Različiti autori","Isti autori","Isti autori","Isti autori","Različiti autori","2","Isti autori","Različiti autori","Isti autori","2","Isti autori","Različiti autori","Različiti autori","Različiti autori","Isti autori","3","Isti autori","Isti autori","Isti autori","Isti autori","Različiti autori","2","Različiti autori","Isti autori","Isti autori","Isti autori","1"
"2024/05/17 6:34:05 PM EEST","Ženski","18-24","Viša stručna sprema (preddiplomski studij)","Student","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","3","Različiti autori","Različiti autori","Različiti autori","3","Isti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","4","Različiti autori","Različiti autori","Različiti autori","Isti autori","Različiti autori","3","Isti autori","Različiti autori","Različiti autori","Isti autori","2"
"2024/05/17 8:52:31 PM EEST","Ženski","18-24","Visoka stručna sprema (diplomski studij, magisterij)","Student","Tehničke znanosti","Različiti autori","Različiti autori","Različiti autori","Isti autori","Isti autori","4","Isti autori","Različiti autori","Isti autori","3","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","2","Različiti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","4","Različiti autori","Različiti autori","Isti autori","Različiti autori","4"
"2024/05/17 10:22:19 PM EEST","Muški","18-24","Viša stručna sprema (preddiplomski studij)","Student","Tehničke znanosti","Različiti autori","Različiti autori","Isti autori","Različiti autori","Isti autori","4","Isti autori","Različiti autori","Isti autori","2","Isti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","4","Različiti autori","Različiti autori","Isti autori","Isti autori","Različiti autori","4","Isti autori","Različiti autori","Isti autori","Različiti autori","3"
"2024/05/18 12:40:23 AM EEST","Muški","35-44","Srednja stručna sprema","Zaposlen","Tehničke znanosti","Isti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","3","Isti autori","Različiti autori","Različiti autori","3","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","2","Različiti autori","Isti autori","Različiti autori","Isti autori","Različiti autori","2","Isti autori","Različiti autori","Isti autori","Različiti autori","2"
"2024/05/18 9:47:22 PM EEST","Muški","35-44","Visoka stručna sprema (diplomski studij, magisterij)","Zaposlen","Biomedicina i zdravstvo","Različiti autori","Isti autori","Isti autori","Različiti autori","Različiti autori","3","Isti autori","Isti autori","Različiti autori","2","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","3","Različiti autori","Različiti autori","Različiti autori","Različiti autori","Različiti autori","4","Različiti autori","Različiti autori","Isti autori","Različiti autori","3"
"2024/05/19 8:56:36 PM EEST","Ne želim odgovoriti",">64","Niža stručna sprema","Umirovljenik","Umjetnost","Različiti autori","Isti autori","Isti autori","Isti autori","Isti autori","2","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Isti autori","Isti autori","Isti autori","Isti autori","Isti autori","1","Različiti autori","Različiti autori","Različiti autori","Isti autori","4"
"2024/05/20 11:07:29 AM EEST","Ženski","18-24","Viša stručna sprema (preddiplomski studij)","Student","Društvene znanosti","Različiti autori","Isti autori","Različiti autori","Različiti autori","Isti autori","4","Isti autori","Različiti autori","Različiti autori","3","Isti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","4","Isti autori","Različiti autori","Isti autori","Različiti autori","Različiti autori","4","Različiti autori","Različiti autori","Isti autori","Različiti autori","4"
